alphas1_c,alphas2_c,alpha_c,anisotropy_c,c11_c,c13_phase_c,c22_c,c33_c,entropy_c,l1_c,l2_c,l3_c,phis1_c,phis2_c,ro12_amplitude_c,span_c,taum1_c,taum2_c,taum3_c,yamaguchi4_dbl_c,yamaguchi4_hlx_c,yamaguchi4_odd_c,yamaguchi4_vol_c,Class
12.1408,12.5299,37.1782,0.3434,0.183,-48.3665,0.0324,0.196,0.7649,0.1966,0.0644,0.0315,-88.0052,63.5946,0.3165,0.4114,-6.1854,36.1807,37.8839,0.0331,0.0085,0.1406,0.1104,Barley
44.5031,53.8206,47.7498,0.2554,0.1856,68.8753,0.0261,0.0166,0.6025,0.1803,0.031,0.0184,3.8328,5.6777,0.7496,0.2283,-2.2337,3.8393,-8.0002,0.1299,0.0177,0.0134,0.0687,Flax
44.5624,50.2092,47.7538,0.3316,0.1838,-71.1139,0.0382,0.027,0.5954,0.2062,0.0372,0.0187,-4.3517,7.7181,0.7284,0.249,-3.8287,-1.5942,-3.9314,0.0224,0.0528,0.172,0.0149,Flax
46.5965,64.1134,51.3154,0.3153,0.2178,-133.1524,0.0487,0.0209,0.5451,0.2379,0.0356,0.0185,-8.6274,55.0083,0.8283,0.2874,-9.2972,2.7086,-10.6821,0.179,0,0.0026,0.0872,Flax
47.1427,63.8742,53.0143,0.2698,0.1835,121.4296,0.0417,0.0268,0.6096,0.2097,0.0374,0.0215,-8.9349,-46.277,0.7841,0.252,-11.5143,9.4701,-6.0343,0.1432,0,0,0.099,Flax
44.1192,60.6627,49.5651,0.2353,0.1474,-175.9858,0.0582,0.0291,0.6337,0.2161,0.0403,0.025,-5.5071,43.607,0.7569,0.2347,-8.272,5.4238,-12.4029,0.0003,0.0945,0.1822,0.0044,Flax
43.9978,60.6007,48.1011,0.1875,0.2812,-31.6075,0.0464,0.0406,0.5763,0.2602,0.0383,0.0262,-2.068,20.6794,0.7871,0.3681,-5.6426,0.7381,-6.9823,0.0034,0.087,0.2216,0.0127,Flax
43.2751,53.5111,46.8279,0.1894,0.3401,72.8015,0.0402,0.0281,0.5304,0.282,0.0357,0.0243,1.1581,19.8398,0.8027,0.4085,-4.6376,8.3331,-15.4672,0.01,0.0737,0.2461,0.0123,Flax
44.5876,49.8401,47.7182,0.2526,0.2723,95.0425,0.0305,0.0338,0.5372,0.2569,0.0353,0.0211,4.2149,28.5429,0.8035,0.3366,-4.2438,15.4951,-20.4858,0.0074,0.0442,0.2034,0.0582,Flax
44.9168,51.137,48.4562,0.3095,0.2092,37.7468,0.0306,0.0279,0.6027,0.2058,0.0373,0.0196,4.3578,32.0091,0.7686,0.2677,-3.9238,16.6115,-19.6587,0.142,0.0227,0.002,0.096,Flax
